Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallRayBrain,2.208,1192.067,2.369,10569,-14.651
RollerBallRayBrain,2.220,1196.518,2.074,10727,-14.619
RollerBallRayBrain,2.203,1201.118,2.220,10241,-14.563
RollerBallRayBrain,2.207,1206.015,2.501,10321,-14.525
RollerBallRayBrain,2.212,1210.425,2.051,10672,-14.483
RollerBallRayBrain,2.217,1215.362,2.529,10332,-14.421
RollerBallRayBrain,2.233,1220.253,2.472,10264,-14.377
RollerBallRayBrain,2.248,1224.349,1.719,10280,-14.350
RollerBallRayBrain,2.215,1229.373,2.595,10388,-14.302
RollerBallRayBrain,2.212,1234.009,2.252,10289,-14.271
RollerBallRayBrain,2.207,1238.319,1.949,10474,-14.233
RollerBallRayBrain,2.188,1242.860,2.184,10329,-14.188
RollerBallRayBrain,2.215,1247.714,2.454,10706,-14.130
RollerBallRayBrain,2.191,1252.211,2.134,10307,-14.077
RollerBallRayBrain,2.229,1257.255,2.603,10607,-14.053
RollerBallRayBrain,2.232,1261.640,1.993,10701,-14.035
RollerBallRayBrain,2.220,1266.328,2.288,10307,-13.985
RollerBallRayBrain,2.218,1271.210,2.472,10550,-13.932
RollerBallRayBrain,2.220,1275.740,2.147,10647,-13.897
RollerBallRayBrain,2.201,1280.532,2.424,10513,-13.853
RollerBallRayBrain,2.216,1285.272,2.332,10594,-13.813
RollerBallRayBrain,2.207,1289.585,1.966,10362,-13.770
RollerBallRayBrain,2.242,1294.700,2.658,10264,-13.716
RollerBallRayBrain,2.197,1299.202,2.141,10292,-13.675
RollerBallRayBrain,2.197,1303.605,2.044,10419,-13.632
RollerBallRayBrain,2.248,1308.368,2.345,10643,-13.575
RollerBallRayBrain,2.210,1313.289,2.505,10463,-13.534
RollerBallRayBrain,2.211,1317.818,2.156,10282,-13.494
RollerBallRayBrain,2.201,1322.579,2.375,10264,-13.445
RollerBallRayBrain,2.244,1327.303,2.301,10389,-13.409
RollerBallRayBrain,2.217,1331.678,2.009,10257,-13.373
RollerBallRayBrain,2.210,1336.719,2.628,10705,-13.332
RollerBallRayBrain,2.229,1341.065,1.970,10277,-13.306
RollerBallRayBrain,2.212,1346.262,2.777,10269,-13.252
RollerBallRayBrain,2.219,1350.469,1.841,10479,-13.230
RollerBallRayBrain,2.233,1355.004,2.156,10241,-13.190
RollerBallRayBrain,2.202,1360.124,2.685,10319,-13.145
RollerBallRayBrain,2.241,1364.496,1.975,10348,-13.121
RollerBallRayBrain,2.209,1369.131,2.242,10261,-13.077
RollerBallRayBrain,2.221,1373.969,2.418,10277,-13.028
RollerBallRayBrain,2.213,1378.434,2.091,10320,-12.992
RollerBallRayBrain,2.193,1383.063,2.244,10385,-12.951
RollerBallRayBrain,2.195,1387.729,2.283,10253,-12.918
RollerBallRayBrain,2.202,1392.133,2.030,10390,-12.878
RollerBallRayBrain,2.200,1397.206,2.664,10280,-12.823
RollerBallRayBrain,2.210,1401.486,1.916,10307,-12.805
RollerBallRayBrain,2.194,1406.315,2.436,10313,-12.756
RollerBallRayBrain,2.199,1410.992,2.309,10419,-12.717
RollerBallRayBrain,2.214,1415.546,2.163,10252,-12.672
RollerBallRayBrain,2.212,1420.424,2.453,10374,-12.632
RollerBallRayBrain,2.209,1425.001,2.199,10356,-12.598
RollerBallRayBrain,2.225,1429.845,2.425,10381,-12.571
RollerBallRayBrain,2.257,1434.138,1.896,10884,-12.540
RollerBallRayBrain,2.195,1439.201,2.657,10276,-12.487
RollerBallRayBrain,2.210,1443.690,2.100,10329,-12.440
RollerBallRayBrain,2.221,1448.644,2.538,10256,-12.402
RollerBallRayBrain,2.209,1453.022,2.012,10331,-12.371
RollerBallRayBrain,2.219,1457.823,2.399,10421,-12.321
RollerBallRayBrain,2.207,1462.575,2.364,10393,-12.286
RollerBallRayBrain,2.216,1467.034,2.090,10319,-12.250
RollerBallRayBrain,2.223,1472.081,2.600,10304,-12.205
RollerBallRayBrain,2.222,1476.428,1.971,10253,-12.182
RollerBallRayBrain,2.201,1481.147,2.331,10252,-12.147
RollerBallRayBrain,2.209,1486.142,2.583,10331,-12.109
RollerBallRayBrain,2.216,1490.312,1.822,10315,-12.075
RollerBallRayBrain,2.211,1495.059,2.352,10289,-12.027
RollerBallRayBrain,2.248,1499.957,2.467,10335,-12.000
RollerBallRayBrain,2.203,1504.808,2.440,10318,-11.962
RollerBallRayBrain,2.186,1509.592,2.399,10305,-11.929
RollerBallRayBrain,2.236,1514.007,2.018,10617,-11.905
RollerBallRayBrain,2.194,1518.723,2.336,10332,-11.863
RollerBallRayBrain,2.245,1523.589,2.439,10271,-11.822
RollerBallRayBrain,2.200,1528.178,2.197,10254,-11.786
RollerBallRayBrain,2.216,1532.842,2.287,10285,-11.754
RollerBallRayBrain,2.245,1537.580,2.308,10242,-11.721
RollerBallRayBrain,2.240,1542.282,2.290,10834,-11.686
RollerBallRayBrain,2.217,1547.159,2.466,10460,-11.648
RollerBallRayBrain,2.206,1552.158,2.577,10251,-11.605
RollerBallRayBrain,2.204,1556.713,2.168,10347,-11.584
RollerBallRayBrain,2.214,1561.149,2.060,10391,-11.558
RollerBallRayBrain,2.205,1565.818,2.298,10326,-11.514
RollerBallRayBrain,2.203,1570.774,2.549,10262,-11.467
RollerBallRayBrain,2.200,1575.426,2.271,10362,-11.430
RollerBallRayBrain,2.216,1580.136,2.322,10286,-11.395
RollerBallRayBrain,2.199,1584.788,2.278,10433,-11.367
RollerBallRayBrain,2.241,1589.805,2.560,10333,-11.334
RollerBallRayBrain,2.223,1594.236,2.042,10246,-11.307
RollerBallRayBrain,2.217,1599.182,2.537,10273,-11.273
RollerBallRayBrain,2.229,1603.664,2.093,10305,-11.249
RollerBallRayBrain,2.231,1608.574,2.473,10288,-11.209
RollerBallRayBrain,2.235,1613.209,2.230,10315,-11.177
RollerBallRayBrain,2.193,1618.043,2.453,10310,-11.142
RollerBallRayBrain,2.227,1622.710,2.258,10259,-11.115
RollerBallRayBrain,2.225,1627.299,2.192,10730,-11.084
RollerBallRayBrain,2.205,1632.130,2.426,10358,-11.052
RollerBallRayBrain,2.224,1636.928,2.399,10890,-11.016
RollerBallRayBrain,2.207,1641.592,2.292,10246,-10.984
RollerBallRayBrain,2.214,1646.624,2.604,10280,-10.955
RollerBallRayBrain,2.197,1651.020,2.030,10559,-10.930
RollerBallRayBrain,2.212,1655.772,2.358,10281,-10.892
RollerBallRayBrain,2.230,1660.451,2.275,10327,-10.860
RollerBallRayBrain,2.224,1665.504,2.619,10255,-10.823
RollerBallRayBrain,2.214,1670.241,2.345,10413,-10.798
RollerBallRayBrain,2.264,1674.881,2.204,10920,-10.767
RollerBallRayBrain,2.247,1679.880,2.565,10627,-10.728
RollerBallRayBrain,2.200,1684.538,2.277,10251,-10.702
RollerBallRayBrain,2.201,1689.290,2.370,10250,-10.671
RollerBallRayBrain,2.232,1693.781,2.106,10368,-10.636
RollerBallRayBrain,2.237,1699.224,2.984,10814,-10.598
RollerBallRayBrain,2.226,1703.866,2.248,10682,-10.579
RollerBallRayBrain,2.227,1708.649,2.370,10484,-10.561
RollerBallRayBrain,2.204,1713.188,2.166,10313,-10.541
RollerBallRayBrain,2.262,1717.979,2.349,10665,-10.516
RollerBallRayBrain,2.215,1722.611,2.246,10361,-10.498
RollerBallRayBrain,2.205,1727.400,2.377,10326,-10.468
RollerBallRayBrain,2.215,1732.514,2.695,10412,-10.443
RollerBallRayBrain,2.206,1737.017,2.132,10276,-10.424
RollerBallRayBrain,2.195,1741.675,2.293,10246,-10.392
RollerBallRayBrain,2.190,1746.386,2.338,10284,-10.370
RollerBallRayBrain,2.223,1751.553,2.726,10323,-10.344
RollerBallRayBrain,2.225,1755.471,1.572,10562,-10.337
RollerBallRayBrain,2.217,1760.265,2.394,10285,-10.304
RollerBallRayBrain,2.240,1765.377,2.655,10302,-10.267
RollerBallRayBrain,2.192,1769.984,2.258,10291,-10.245
RollerBallRayBrain,2.201,1774.486,2.140,10337,-10.219
RollerBallRayBrain,2.220,1779.312,2.439,10270,-10.189
RollerBallRayBrain,2.216,1784.230,2.413,10604,-10.172
RollerBallRayBrain,2.211,1789.161,2.518,10561,-10.152
RollerBallRayBrain,2.202,1793.355,1.847,10251,-10.136
RollerBallRayBrain,2.181,1798.388,2.643,10291,-10.104
RollerBallRayBrain,2.197,1802.836,2.098,10244,-10.080
RollerBallRayBrain,2.205,1807.435,2.228,10321,-10.053
RollerBallRayBrain,2.200,1812.359,2.537,10291,-10.022
RollerBallRayBrain,2.211,1817.388,2.616,10316,-10.000
RollerBallRayBrain,2.204,1821.965,2.208,10258,-9.986
RollerBallRayBrain,2.198,1826.212,1.904,10314,-9.966
RollerBallRayBrain,2.221,1831.367,2.701,10338,-9.937
RollerBallRayBrain,2.223,1836.004,2.237,10451,-9.920
RollerBallRayBrain,2.227,1840.939,2.513,10333,-9.898
RollerBallRayBrain,2.236,1845.440,2.096,10249,-9.878
RollerBallRayBrain,2.217,1850.211,2.367,10419,-9.853
RollerBallRayBrain,2.221,1854.928,2.319,10299,-9.827
RollerBallRayBrain,2.201,1860.131,2.782,10312,-9.799
RollerBallRayBrain,2.200,1864.577,2.104,10268,-9.786
RollerBallRayBrain,2.194,1868.994,2.062,10384,-9.767
RollerBallRayBrain,2.192,1873.928,2.538,10254,-9.745
RollerBallRayBrain,2.195,1878.463,2.177,10250,-9.731
RollerBallRayBrain,2.211,1883.064,2.205,10277,-9.710
RollerBallRayBrain,2.209,1887.992,2.527,10424,-9.688
RollerBallRayBrain,2.214,1892.739,2.351,10242,-9.663
RollerBallRayBrain,2.205,1897.364,2.255,10242,-9.647
RollerBallRayBrain,2.222,1901.982,2.243,10399,-9.628
RollerBallRayBrain,2.206,1906.749,2.390,10285,-9.601
RollerBallRayBrain,2.239,1911.619,2.438,10316,-9.578
RollerBallRayBrain,2.202,1916.298,2.302,10289,-9.556
RollerBallRayBrain,2.212,1921.331,2.619,10578,-9.533
RollerBallRayBrain,2.230,1925.946,2.220,10552,-9.521
RollerBallRayBrain,2.202,1930.986,2.614,10292,-9.512
RollerBallRayBrain,2.237,1935.176,1.824,10699,-9.508
RollerBallRayBrain,2.249,1939.916,2.323,10340,-9.488
RollerBallRayBrain,2.241,1944.673,2.340,10322,-9.462
RollerBallRayBrain,2.202,1949.552,2.491,10284,-9.444
RollerBallRayBrain,2.213,1954.064,2.135,10273,-9.427
RollerBallRayBrain,2.218,1958.923,2.443,10280,-9.407
RollerBallRayBrain,2.211,1964.163,2.813,10276,-9.385
RollerBallRayBrain,2.219,1968.439,1.921,10377,-9.381
RollerBallRayBrain,2.227,1972.926,2.082,10297,-9.365
RollerBallRayBrain,2.215,1977.627,2.299,10479,-9.344
RollerBallRayBrain,2.230,1982.394,2.356,10291,-9.321
RollerBallRayBrain,2.199,1986.994,2.241,10284,-9.302
RollerBallRayBrain,2.202,1992.291,2.854,10259,-9.279
RollerBallRayBrain,2.211,1996.859,2.186,10385,-9.262
RollerBallRayBrain,2.228,2001.631,2.358,10284,-9.247
